customer_state,total_customers,total_orders,total_revenue,avg_order_value
SP,40302,41746,5202955.05,124.63
RJ,12384,12852,1824092.67,141.93
MG,11259,11635,1585308.03,136.25
RS,5277,5466,750304.02,137.27
PR,4882,5045,683083.76,135.4
SC,3534,3637,520553.34,143.13
BA,3277,3380,511349.99,151.29
DF,2075,2140,302603.94,141.4
GO,1952,2020,294591.95,145.84
ES,1964,2033,275037.31,135.29
PE,1609,1652,262788.03,159.07
CE,1313,1336,227254.71,170.1
PA,949,975,178947.81,183.54
MT,876,907,156453.53,172.5
MA,726,747,119648.22,160.17
MS,694,715,116812.64,163.37
PB,519,536,115268.08,215.05
PI,482,495,86914.08,175.58
RN,474,485,83034.98,171.21
AL,401,413,80314.81,194.47
SE,342,350,58920.85,168.35
TO,273,280,49621.74,177.22
RO,240,253,46140.64,182.37
AM,143,148,22356.84,151.06
AC,77,81,15982.95,197.32
AP,67,68,13474.3,198.15
RR,45,46,7829.43,170.21
